;Heading of multiannual financial framework;Heading of multiannual financial framework.1;Heading of multiannual financial framework.2;Heading of multiannual financial framework.3;3;3.1;3.2;3.3;Natural Resources and Environment;Natural Resources and Environment.1;Natural Resources and Environment.2;Natural Resources and Environment.3;Natural Resources and Environment.4;Natural Resources and Environment.5;Natural Resources and Environment.6;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19
0;;;;;;;;;;;;;;;;;;;;
1;[Body]: EEA;[Body]: EEA;[Body]: EEA;[Body]: EEA;2023.0;2023.0;2023.0;2023.0;2024.0;2024.0;2024.0;2025.0;2026.0;2027.0;TOTAL;;;;;
2;Title 1:;Commitments;(1);;;;;1967.0;1967.0;1967.0;2006.0;2006.0;2046.0;2087.0;8106;;;;;
3;;Payments;(2);;;;;1967.0;1967.0;1967.0;2006.0;2006.0;2046.0;2087.0;8106;;;;;
4;Title 2:;Commitments;(1a);;;;;177.0;177.0;177.0;181.0;181.0;184.0;198.0;0740;;;;;
5;;Payments;(2a);;;;;177.0;177.0;177.0;181.0;181.0;184.0;198.0;0740;;;;;
6;Title 3:;Commitments;(3a);;;;;153.0;153.0;153.0;1156.0;1156.0;159.0;1162.0;2631;;;;;
7;;Payments;(3b);;;;;153.0;153.0;153.0;1156.0;1156.0;159.0;1162.0;2631;;;;;
8;TOTAL appropriations for EEA;Commitments;=1 + 1a + 3a;;;;;2297.0;2297.0;2297.0;3343.0;3343.0;2390.0;3447.0;11476;;;;;
9;;Payments;=2 + 2a +3b;;;;;2297.0;2297.0;2297.0;3343.0;3343.0;2390.0;3447.0;11476;;;;;
