;Heading of multiannual financial framework;Heading of multiannual financial framework.1;7;7.1;‘Administrative expenditure’;‘Administrative expenditure’.1;‘Administrative expenditure’.2;‘Administrative expenditure’.3;‘Administrative expenditure’.4;‘Administrative expenditure’.5;‘Administrative expenditure’.6;‘Administrative expenditure’.7;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16
0;EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);;;;
1;DG: CLIMA;DG: CLIMA;2023;2023;2024;2025;2026;2027;2027;2027;TOTAL;TOTAL;;;;;
2;Human Resources;Human Resources;0608;0608;0608;0760;0760;0912;0912;0912;3648;3648;;;;;
3;Other administrative expenditure;Other administrative expenditure;0055;0055;0107;0107;-;-;-;-;0269;0269;;;;;
4;TOTAL DG CLIMA;TOTAL DG CLIMA;0663;0663;0715;0867;0760;0912;0912;0912;3917;3917;;;;;
5;;;;;;;;;;;;;;;;;
6;TOTAL appropriations under HEADING 7 of the multiannual financial framework;(Total commitments = Total payments);0663;0663;0715;0867;0760;0912;0912;0912;3917;3917;;;;;
7;;;;;;;;;;;;;;;;;
8;EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);EUR million (to three decimal places);;;;
9;;;2023;2023;2024;2025;2026;2027;2027;2027;TOTAL;TOTAL;;;;;
10;TOTAL appropriations under HEADINGS 1 to 7 of the multiannual financial framework *;Commitments;0663;0663;3012;4209;3150;4359;4359;4359;15393;15393;;;;;
11;;Payments;0663;0663;3012;4209;3150;4359;4359;4359;15393;15393;;;;;
