;Indicate objectives and outputs ⇩;Unnamed: 1;Unnamed: 2;Year  2024;Year  2024.1;Year  2025;Year  2025.1;Year  2026;Year  2026.1;Year  2027;Year  2027.1;Year  2027.2;Enter as many years as necessary to show the duration of the impact (see point 1.6);Enter as many years as necessary to show the duration of the impact (see point 1.6).1;Enter as many years as necessary to show the duration of the impact (see point 1.6).2;Enter as many years as necessary to show the duration of the impact (see point 1.6).3;Enter as many years as necessary to show the duration of the impact (see point 1.6).4;Enter as many years as necessary to show the duration of the impact (see point 1.6).5;TOTAL;TOTAL.1
0;;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS
1;;Type  77;Average cost;No;Cost;No;Cost;No;Cost;No;Cost;Cost;No;Cost;No;Cost;No;Cost;Total No;Total cost
2;SPECIFIC OBJECTIVE No 2  78  …;SPECIFIC OBJECTIVE No 2  78  …;SPECIFIC OBJECTIVE No 2  78  …;;;;;;;;;;;;;;;;;
3;- comprehensive review - result;;;;;;1M;;;;1M;1M;;;;;;;;2M
4;- Output;;;;;;;;;;;;;;;;;;;
5;- Output;;;;;;;;;;;;;;;;;;;
6;Subtotal for specific objective No 1;Subtotal for specific objective No 1;Subtotal for specific objective No 1;;;;;;;;;;;;;;;;;
7;SPECIFIC OBJECTIVE No 2 ...;SPECIFIC OBJECTIVE No 2 ...;SPECIFIC OBJECTIVE No 2 ...;;;;;;;;;;;;;;;;;
8;- Output;;;;;;;;;;;;;;;;;;;
9;Subtotal for specific objective No 2;Subtotal for specific objective No 2;Subtotal for specific objective No 2;;;;;;;;;;;;;;;;;
10;TOTAL COST;TOTAL COST;TOTAL COST;;;;;;;;;;;;;;;;;
