;Unnamed: 0;Member State;Value of the net greenhouse gas emissions reduction in kt of CO2 equivalent in 2030
0;;Belgium;-1 352
1;;Bulgaria;-9 718
2;;Czechia;-1 228
3;;Denmark;5 338
4;;Germany;-30 840
5;;Estonia;-2 545
6;;Ireland;3 728
7;;Greece;-4 373
8;;Spain;-43 635
9;;France;-34 046
10;;Croatia;-5 527
11;;Italy;-35 758
12;;Cyprus;-352
13;;Latvia;-644
14;;Lithuania;-4 633
15;;Luxembourg;-403
16;;Hungary;-5 724
17;;Malta;2
18;;Netherlands;4 523
19;;Austria;-5 650
20;;Poland;-38 098
21;;Portugal;-1 358
22;;Romania;-25 665
23;;Slovenia;-146
24;;Slovakia;-6 821
25;;Finland;-17 754
26;;Sweden;-47 321
27;;EU-27;-310 000
