;Unnamed: 0;Unnamed: 1;Unnamed: 2;2023;2023.1;2024;2024.1;2025;2025.1;2026;2026.1;2027;2027.1;TOTAL;TOTAL.1
0;DG: CLIMA;DG: CLIMA;DG: CLIMA;DG: CLIMA;;;;;;;;;;;
1;Ÿ Human resources;Ÿ Human resources;Ÿ Human resources;Ÿ Human resources;608.0;608.0;608.0;608.0;760.0;760.0;0760;0760;0912;0912;3648
2;Ÿ Other administrative expenditure;Ÿ Other administrative expenditure;Ÿ Other administrative expenditure;Ÿ Other administrative expenditure;55.0;55.0;107.0;107.0;107.0;107.0;-;-;-;-;0269
3;TOTAL DG CLIMA;Appropriations;Appropriations;Appropriations;663.0;663.0;715.0;715.0;867.0;867.0;0760;0760;0912;0912;3917
4;TOTAL appropriations under HEADING 7 of the multiannual financial framework;TOTAL appropriations under HEADING 7 of the multiannual financial framework;(Total commitments =Total payments);0663;663.0;715.0;715.0;867.0;867.0;760.0;0760;0912;0912;3917;3917
5;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;
7;;;;2023;2023.0;2024.0;2024.0;2025.0;2025.0;2026.0;2026;2027;2027;TOTAL;TOTAL
8;TOTAL appropriations under HEADINGS 1 to 7 of the multiannual financial framework;TOTAL appropriations under HEADINGS 1 to 7 of the multiannual financial framework;Commitments;1663;1663.0;1715.0;1715.0;4059.0;4059.0;802.0;0802;2979;2979;11218;11218
9;;;Payments;0663;663.0;1115.0;1115.0;2059.0;2059.0;2602.0;2602;2779;2779;9218;9218
