;Indicate objectives and outputs ⇩;Unnamed: 1;Unnamed: 2;Year  2023;Year  2023.1;Year  2024;Year  2024.1;Year  2025;Year  2025.1;Year  2026;Year  2026.1;Year  2026.2;Year  2027;Year  2027.1;Year  2027.2;Unnamed: 15;Unnamed: 16;Unnamed: 17;TOTAL;TOTAL.1
0;;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS;OUTPUTS
1;;Type  60;Average cost;No;Cost;No;Cost;No;Cost;No;No;Cost;No;Cost;No;Cost;No;Cost;Total No;Total cost
2;SPECIFIC OBJECTIVE No 1  61  …;SPECIFIC OBJECTIVE No 1  61  …;SPECIFIC OBJECTIVE No 1  61  …;;;;;;;;;;;;;;;;;
3;- Registry updating and operation;;;;0000;;0000;;0192;;;0042;;0067;;;;;;0301
4;- Studies setting;;;;0300;;0300;;0300;;;;;;;;;;;0900
5;Subtotal for specific objective No 1;Subtotal for specific objective No 1;Subtotal for specific objective No 1;;;;;;;;;;;;;;;;;1201
6;SPECIFIC OBJECTIVE No 2 ...;SPECIFIC OBJECTIVE No 2 ...;SPECIFIC OBJECTIVE No 2 ...;;;;;;;;;;;;;;;;;
7;- Fair implementation;;;;0300;;0300;;2300;;;;;2000;;;;;;4900
8;Subtotal for specific objective No 2;Subtotal for specific objective No 2;Subtotal for specific objective No 2;;;;;;;;;;;;;;;;;
9;SPECIFIC OBJECTIVE No 3 ...;SPECIFIC OBJECTIVE No 3 ...;SPECIFIC OBJECTIVE No 3 ...;;;;;;;;;;;;;;;;;
10;- Simplification;;;;0400;;0400;;0400;;;;;;;;;;;1200
11;Subtotal for specific objective No 3;Subtotal for specific objective No 3;Subtotal for specific objective No 3;;;;;;;;;;;;;;;;;
12;TOTALS;TOTALS;TOTALS;;1000;;1000;;3192;;;0042;;2067;;;;;;7301
