;Unnamed: 0;2023;2024;2025;2026;2027;TOTAL
0;;;;;;;
1;HEADING 7 of the multiannual financial framework;;;;;;
2;Human resources;0608;0608;0760;0760;0912;3648
3;Other administrative expenditure;0055;0107;0107;-;-;0269
4;Subtotal HEADING 7 of the multiannual financial framework;0663;0715;0867;0760;0912;3917
5;;;;;;;
6;Outside HEADING 7[1] of the multiannual financial framework;;;;;;
7;Human resources;-;-;-;-;-;-
8;Other expenditure of an administrative nature;-;-;0192;0042;0067;0301
9;Subtotal outside HEADING 7 of the multiannual financial framework;-;-;0192;0042;0067;0301
10;;;;;;;
11;TOTAL;0663;0715;1059;0802;0979;4218
