;Unnamed: 0;Member State greenhouse gas emission reductions in 2030 in relation to their 2005 levels determined in accordance with Article 4(3);Member State greenhouse gas emission reductions in 2030 in relation to their 2005 levels determined in accordance with Article 4(3).1
0;;Column 1;Column 2
1;Belgium;- 35 %;-47%
2;Bulgaria;- 0 %;-10%
3;Czechia;- 14 %;-26%
4;Denmark;- 39 %;-50%
5;Germany;- 38 %;-50%
6;Estonia;- 13 %;-24%
7;Ireland;- 30 %;-42%
8;Greece;- 16 %;-22.7%
9;Spain;- 26 %;-37.7%
10;France;- 37 %;-47.5%
11;Croatia;- 7 %;-16.7%
12;Italy;- 33 %;-43.7%
13;Cyprus;- 24 %;-32%
14;Latvia;- 6 %;-17%
15;Lithuania;- 9 %;-21%
16;Luxembourg;- 40 %;-50%
17;Hungary;- 7 %;-18.7%
18;Malta;- 19 %;-19%
19;Netherlands;- 36 %;-48%
20;Austria;- 36 %;-48%
21;Poland;- 7 %;-17.7%
22;Portugal;- 17 %;-28.7%
23;Romania;- 2 %;-12.7%
24;Slovenia;- 15 %;-27%
25;Slovakia;- 12 %;-22.7%
26;Finland;- 39 %;-50%
27;Sweden;- 40 %;-50%
