;Heading of multiannual financial framework;Heading of multiannual financial framework.1;Heading of multiannual financial framework.2;Heading of multiannual financial framework.3;Heading of multiannual financial framework.4;3;3.1;'natural resources and environment';'natural resources and environment'.1;'natural resources and environment'.2;'natural resources and environment'.3
0;;;;;;;;;;;
1;DG: CLIMA;;;2023;2024;2024;2025;2025;2026;2027;TOTAL
2;Operational appropriations;Operational appropriations;Operational appropriations;Operational appropriations;Operational appropriations;Operational appropriations;Operational appropriations;Operational appropriations;Operational appropriations;Operational appropriations;Operational appropriations
3;09 02 03;Commitments;(1);1750;;;;;;;1750
4;;Payments;(2);;0700;0700;1050;1050;;;1750
5;Appropriations of an administrative nature financed from the envelope of specific programmes;Appropriations of an administrative nature financed from the envelope of specific programmes;Appropriations of an administrative nature financed from the envelope of specific programmes;Appropriations of an administrative nature financed from the envelope of specific programmes;Appropriations of an administrative nature financed from the envelope of specific programmes;Appropriations of an administrative nature financed from the envelope of specific programmes;Appropriations of an administrative nature financed from the envelope of specific programmes;Appropriations of an administrative nature financed from the envelope of specific programmes;Appropriations of an administrative nature financed from the envelope of specific programmes;Appropriations of an administrative nature financed from the envelope of specific programmes;Appropriations of an administrative nature financed from the envelope of specific programmes
6;09 01 01 01;;(3);;;;0467;0467;0.042;0.092;0.601
7;TOTAL appropriations DG CLIMA;Commitments;= 1 + 3;1750;;;0467;0467;0042;0092;2351
8;;Payments;= 2 + 3;;0700;0700;1517;1517;0042;0092;2351
9;;;;;;;;;;;
10;TOTAL operational appropriations;Commitments;(4);1750;;;0467;0467;0.042;0092;2351
11;;Payments;(5);;0700;0700;1.517;1.517;0042;0092;2351
12;TOTAL appropriations of an administrative nature financed from the envelope for specific programmes;TOTAL appropriations of an administrative nature financed from the envelope for specific programmes;(6);;;;;;;;
13;TOTAL appropriations under HEADING 3 of the multiannual financial framework;Commitments;= 4+ 6;1750;;;0467;0467;0042;0092;2351
14;;Payments;= 5+ 6;;0700;0700;1517;1517;0042;0092;2351
