;Unnamed: 0;Unnamed: 1;Unnamed: 2;2023;2023.1;2024;2025;2026;2026.1;2027;TOTAL
0;DG: CLIMA;DG: CLIMA;DG: CLIMA;DG: CLIMA;;;;;;;
1;Ÿ Human resources;Ÿ Human resources;Ÿ Human resources;Ÿ Human resources;465.0;474.0;484.0;484.0;0494;0503;2421
2;Ÿ Other administrative expenditure;Ÿ Other administrative expenditure;Ÿ Other administrative expenditure;Ÿ Other administrative expenditure;55.0;107.0;107.0;107.0;-;-;0269
3;TOTAL DG CLIMA;Appropriations;Appropriations;Appropriations;520.0;581.0;591.0;591.0;0494;0503;2689
4;TOTAL appropriations under HEADING 7 of the multiannual financial framework;TOTAL appropriations under HEADING 7 of the multiannual financial framework;(Total commitments =Total payments);0520;520.0;581.0;591.0;494.0;0494;0503;2689
5;;;;;;;;;;;
6;;;;;;;;;;;
7;;;;2023;2023.0;2024.0;2025.0;2026.0;2026;2027;TOTAL
8;TOTAL appropriations under HEADINGS 1 to 7 of the multiannual financial framework;TOTAL appropriations under HEADINGS 1 to 7 of the multiannual financial framework;Commitments;2270;2270.0;581.0;1058.0;536.0;0536;0595;5040
9;;;Payments;0520;520.0;1281.0;2108.0;536.0;0536;0595;5040
