;Unnamed: 0;Baseline shares increase (in percentage. points)  (REF20/NECPs);Resulting renewable heating and cooling shares in 2030 in percentage points including top ups (at least)
0;Belgium;0,3%;1,4%
1;Bulgaria;0,9%;1,4%
2;Czech Republic;0,5%;1,4%
3;Denmark;0,9%;1,4%
4;Germany;0,9%;1,5%
5;Estonia;1,2%;1,5%
6;Ireland;2,1%;2,9%
7;Greece;1,6%;2,0%
8;Spain;1,1%;1,4%
9;France;1,4%;1,8%
10;Croatia;0,7%;1,4%
11;Italy;1,2%;1,6%
12;Cyprus;0,5%;1,6%
13;Latvia;0,8%;1,0%
14;Lithuania;1,6%;2,0%
15;Luxembourg;2,0%;2,7%
16;Hungary;0,9%;1,5%
17;Malta;0,5%;1,5%
18;Netherlands;0,7%;1,4%
19;Austria;0,7%;1,5%
20;Poland;1,0%;1,5%
21;Portugal;1,0%;1,4%
22;Romania;0,6%;1,4%
23;Slovenia;0,7%;1,4%
24;Slovakia;0,3%;1,4%
25;Finland;0,5%;0,8%
26;Sweden;0,3%;0,6%
