;Directive 2006/32/EC;This Directive
0;Article 1;Article 1(1)
1;Article 2;Article 1(1)
2;Article 3, point (a);Article 2, point (1)
3;Article 3, point (b);Article 2, point (4)
4;Article 3, point (c);Article 2, point (6)
5;Article 3, point (d);Article 2, point (5)
6;—;Article 2, points (2) and (3)
7;Article 3, point (e);Article 2, point (7)
8;Article 3, points (f), (g), (h) and (i);—
9;—;Article 2, points (8) to (19)
10;Article 3, point (j);Article 2, point (27)
11;—;Article 2, point (28)
12;Article 3, point (k);—
13;Article 3, point (l);Article 2, point (25)
14;—;Article 2, point (26)
15;Article 3, point (m);—
16;Article 3, point (n);Article 2, point (23)
17;Article 3, point (o);Article 2, point (20)
18;Article 3, point (p);Article 2, point (21)
19;Article 3, point (q);Article 2, point (22)
20;Article 3, points (r) and (s);—
21;—;Article 2, points (24), (29), (44) and (45)
22;—;Article 3
23;—;Article 4
24;Article 4;—
25;Article 5;Articles 5 and 6
26;Article 6(1)(a);Article 7(8), points (a) and (b)
27;Article 6(1)(b);Article 18(3)
28;Article 6(2);Article 7(1), (5), (6), (7), (9), (10), (11) and (12)
29;—;Article 7(2) and (3)
30;Article 6(3);Article 18(2), points (b) and (c)
31;Article 6(5);—
32;Article 7;Article 17
33;Article 8;Article 16(1)
34;—;Article 16(2) and (3)
35;Article 9(1);Article 19
36;Article 9(2);Article 18(1), point (d), subpoint (i)
37;—;Article 18(1), points (a), (b), (c), (d), subpoint (ii), and (e)
38;Article 10(1);Article 15(4)
39;Article 10(2);Article 15(3)
40;—;Article 15(7), (8) and (9)
41;Article 11;Article 20
42;Article 12(1);Article 8(1)
43;Article 12(2);—
44;—;Article 8(2), (3), (4), (5), (6) and (7)
45;Article 12(3);—
46;Article 13(1);Article 9
47;Article 13(2);Article 10 and Annex VII, point 1.1
48;Article 13(3);Annex VII, points 1.2 and 1.3
49;—;Article 11
50;—;Article 12
51;—;Article 13
52;—;Article 15(1) and (2)
53;—;Article 18(2), points (a) and (d)
54;—;Article 21
55;Article 14(1) and (2);Article 24(1) and (2)
56;Article 14(3);—
57;Article 14(4) and (5);Article 24(3)
58;—;Article 24(4) and (7) to (11)
59;—;Article 22(1)
60;Article 15(1);Article 22(2)
61;Article 15(2), (3) and (4);—
62;—;Article 23
63;—;Article 25
64;Article 16;Article 26
65;Article 17;Article 27
66;Article 18;Article 28
67;Article 19;Article 29
68;Article 20;Article 30
69;Annex I;—
70;Annex II;Annex IV
71;Annex III;—
72;Annex IV;—
73;Annex V;—
74;Annex VI;Annex III
75;—;Annex V
76;—;Annex VI
77;—;Annex VII
78;—;Annex XI
79;—;Annex XII
80;—;Annex XIII
81;—;Annex XIV
82;—;Annex XV
