;Directive 2012/27/EU;This Directive
0;Article 1;Article 1
1;Article 2, introductory wording;Article 2, introductory wording
2;Article 2, point 1;Article 2, point 1
3;-;Article 2, points 2 and 3
4;Article 2, point 2;Article 2, point 4
5;Article 2, point 3;Article 2, point 5
6;Article 2, point 4;Article 2, point 6
7;Article 2, point 5;Article 2, point 7
8;Article 2, point 6;Article 2, point 8
9;Article 2, point 7;Article 2, point 9
10;Article 2, point 8;Article 2, point 10
11;Article 2, point 9;-
12;Article 2, point 10;Article 2, point 11
13;_;Article 2, points 12 and 13
14;Article 2, point 11;Article 2, point 14
15;Article 2, point 12;Article 2, point 15
16;Article 2, point 13;Article 2, point 16
17;Article 2, point 14;Article 2, point 17
18;Article 2, point 15;Article 2, point 18
19;Article 2, point 16;Article 2, point 19
20;Article 2, point 17;Article 2, point 20
21;Article 2, point 18;Article 2, point 21
22;Article 2, point 19;Article 2, point 22
23;Article 2, point 20;Article 2, point 23
24;Article 2, point 21;Article 2, point 24
25;Article 2, point 22;Article 2, point 25
26;Article 2, point 23;Article 2, point 26
27;Article 2, point 24;Article 2, point 27
28;Article 2, point 25;Article 2, point 28
29;Article 2, point 26;-
30;Article 2, point 27;Article 2, point 29
31;Article 2, point 28;Article 2, point 30
32;Article 2, point 29;Article 2, point 31
33;Article 2, point 30;Article 2, point 32
34;Article 2, point 31;Article 2, point 33
35;Article 2, point 32;Article 2, point 34
36;Article 2, point 33;Article 2, point 35
37;Article 2, point 34;Article 2, point 36
38;Article 2, point 35;Article 2, point 37
39;Article 2, point 36;Article 2, point 38
40;Article 2, point 37;Article 2, point 39
41;Article 2, point 38;Article 2, point 40
42;Article 2, point 39;Article 2, point 41
43;Article 2, point 40;-
44;Article 2, point 41;Article 2, point 42
45;Article 2, point 42;Article 2, point 43
46;Article 2, point 43;Article 2, point 44
47;-;Article 2, point 45
48;Article 2, points 44 and 45;Article 2, points 46 and 47
49;-;Article 2, points 48, 49 and 50
50;-;Article 3
51;-;Article 4(1)
52;Article 3(1), first subparagraph;Article 4(2), first subparagraph
53;Article 3(1), second subparagraph, introductory wording;Article 4(2), second subparagraph, introductory wording
54;Article 3(1), second subparagraph, points (a) and (b);Article 4(2), second subparagraph, points (a) and (b)
55;Article 3(1), second subparagraph, point (c);-
56;Article 3(1), second subparagraph, point (d);Article 4(2), second subparagraph, point (c)
57;Article 3(1), third subparagraph, introductory wording;-
58;-;Article 4(2), second subparagraph, point (d), introductory wording
59;-;Article 4(2), second subparagraph, points (d)(i), (ii) and (iii)
60;Article 3(1), third subparagraph, point (a);Article 4(2), second subparagraph, point (d)(iv)
61;-;Article 4(2), second subparagraph, point (e), introductory wording
62;Article 3(1), third subparagraph, point (b);Article 4(2), second subparagraph, point (e)(i)
63;Article 3(1), third subparagraph, point (c);Article 4(2), second subparagraph, point (e)(ii)
64;Article 3(1), third subparagraph, point (d);Article 4(2), second subparagraph, point (e)(iii)
65;Article 3(1), third subparagraph, point (e);-
66;Article 3(2) and (3);-
67;Article 3(4);Article 33(6)
68;Article 3(5) and (6);-
69;-;Article 4(3)
70;-;Article 4(4)
71;-;Article 5
72;Article 5(1), first subparagraph;Article 6(1), first subparagraph
73;Article 5(1), second subparagraph;-
74;Article 5(1), third subparagraph;Article 6(1), second subparagraph
75;Article 5(1), fourth and fifth subparagraph;-
76;Article 5(2) and (3);-
77;Article 5(4);Article 6(2)
78;Article 5(5);Article 6(3)
79;Article 5(6) and (7);-
80;Article 6(1), first subparagraph;Article 7(1), first subparagraph
81;Article 6(1), second subparagraph;-
82;-;Article 7(1), second subparagraph
83;Article 6(1), third subparagraph;-
84;Article 6(2), (3) and (4);Article 7(2), (3) and (4)
85;-;Article 7(5) and (6)
86;-;Article 7(7), second subparagraph
87;Article 7(1), introductory wording, point (a) and (b);Article 8(1), introductory wording, point (a) and (b)
88;-;Article 8(1), point (c)
89;Article 7(1), second subparagraph;Article 8(5)
90;Article 7(1), third subparagraph;Article 8(1), second subparagraph
91;Article 7(1), fourth subparagraph;Article 8(1), third subparagraph
92;-;Article 8(2), (3) and (4)
93;Article 7(2);Article 8(6)
94;Article 7(3);Article 8(7)
95;Article 7(4);Article 8(8)
96;Article 7(5);Article 8(9)
97;Article 7(6);Article 8(10)
98;Article 7(7);-
99;Article 7(8);-
100;Article 7(9);-
101;Article 7(10);-
102;Article 7(11);-
103;;Article 8(11), (12) and (13)
104;Article 7(12);Article 8(14)
105;Article 7a (1), (2) and (3);Article 9(1), (2) and (3)
106;-;Article 9(4), (5) and (6)
107;Article 7a (4) and (5);Article 9(7) and (8)
108;-;Article 9(9)
109;Article 7a (6) and (7);Article 9(10) and (11)
110;Article 7b (1) and (2);Article 10(1) and (2)
111;-;Article 10(3) and (4)
112;-;Article 11(1) and (2)
113;Article 8(1) and (2);Article 11(3) and (4)
114;Article 8(3) and (4);-
115;-;Article 11(5)
116;Article 8(5);Article 11(6)
117;-;Article 11(7)
118;Article 8(6);Artice 11(8)
119;Article 8(7);Article 11(9)
120;-;Article 11(10)
121;Article 9;Article 12
122;Article 9a;Article 13
123;Article 9b;Article 14
124;Article 9c;Article 15
125;Article 10;Article 16
126;Article 10a;Article 17
127;Article 11;Article 18
128;Article 11a;Article 19
129;-;Article 20
130;-;Article 21(1)
131;Article 12(1);Article 21(2)
